Mosque_ID,Name,Street,City,State,ZCTA,Latitude,Longitude,Urbanization_Cat,Year_Est,Status,Source,Transit_score,Walk_score ,NND,NRI,Reference_ID
49,Islamic Center of Little Rock - West Campus,15110 Kanis Rd,Little Rock,AR,72223,,,,1992,,https://islamicvalley.com/mosque/jVb/the-islamic-center-of-little-rock,,,,,2278
50,Masjid Alradwan,500-596 W Broadway St,Forrest City,AR,72335,,,,-,No Basic Information,https://prayersconnect.com/mosques/84000320-masjid-alradwan-forrest-city-arkansas-united-states,,,,,2283
51,Islamic Center of Jonesboro,118 Rogers st,Jonesboro,AR,72401,,,,1983,,https://islamatastate.weebly.com/islamic-center-of-jonesboro.html,,,,,1268
52,Masjid Hamza/Islamic Center Of Northwest Arkansas,1420 E Center st,Fayetteville,AR,72701,,,,1994,,https://encyclopediaofarkansas.net/entries/muslims-2557/,,,,,1875
53,Bentonville Islamic Center,1801 SW 2nd St,Bentonville,AR,72712,,,,2005,,https://www.mapquest.com/us/arkansas/bentonville-islamic-center-378407053,,,,,986
54,Muslim Students of Russellville,514 West K st,Russellville,AR,72801,,,,2014,,https://www.facebook.com/MSAatATU/posts/press-releasewhat-islamic-center-of-russellville-icr-to-hold-community-open-hous/959876940705094/,,,,,2107
55,Islamic Center of Russellville,2001 W Parkway Dr,Russellville,AR,72802,,,,2014,,"https://www.causeiq.com/organizations/islamic-center-of-russellville,464986297/",,,,,2280
56,Masjid Annoor,1800 S Albert Pike,Fort Smith,AR,72901,,,,1993,,https://masjidannoorfs.com/about,,,,,1797
57,Masjid AlSalam,8501 S 28th St,Fort Smith,AR,72908,,,,2012,,https://masjidalsalamfsm.org/about,,,,,2279
58,Masjid Touba,1219 W Buckeye Rd,Phoenix,AZ,85007,,,,-,No Basic Information,,,,,,2717
59,Al Rahma Islamic Center of Phoenix,2916 E McDowell Rd unit 15,Phoenix,AZ,85008,,,,2009,,"https://www.causeiq.com/organizations/masjid-al-rahma-of-phoenix,870813205/",,,,,2272
60,Ibadurahman Mosque,5064 E McDowell Rd SUITE B,Phoenix,AZ,85008,,,,-,No Basic Information,(480) 648-4254,,,,,414
61,Muslim Community Mosque Phoenix,1818 N 32nd St,Phoenix,AZ,85008,,,,1994,,https://mcmphoenix.com/,,,,,2265
62,Masjid Al-Bashir Mohammed/Albasheer Islamic Foundation,6523 N Black Canyon Freeway,Phoenix,AZ,85015,,,,2014,,"https://www.causeiq.com/organizations/al-basheer-islamic-foundation,461248064/",,,,,1651
63,Al Kauthar,6221 W Glendale ave,Phoenix,AZ,85017,,,,-,No Basic Information,,,,,,859
64,Alkawathar Educational Culture Center,6602 N Black Cyn Hwy,Phoenix,AZ,85017,,,,-,Information Without Year,,,,,,2725
65,Islamic Center of Arizona/Masjid Dunlap,1426 9 Street Northwest Suite 200,Phoenix,AZ,85020,,,,2000,,,,,,,41
