Mosque_ID,Name,Street,City,State,ZCTA,Latitude,Longitude,Urbanization_Cat,Year_Est,Status,Source,Transit_score,Walk_score,NND,NRI,Reference_ID,geocode_method
3138,Masjid Bilal,343 Potomac ave,Buffalo,NY,14213,42.924012226245,-78.886645673227,,2015,,https://paytax.erie.gov/(S(ftxkhc1n0yqeibjghxin0kzd))/Report/Web_Report_CrystalViewer.aspx?REPORTNAME=C:\eGov\Reports\ERI_WEB_TAXMAP.rpt&REPORTCONNECTIONKEY=TAXMAP_W8-SQL-GVRN-E2_SQL&ReportParameter=TAX_MAP=1402000887600007005120,45,81,,,166.0,census_geocoder
3139,Central Park Jame Mosque,97 Rodney Avenue,Buffalo,NY,14214,42.936065715453,-78.838578481051,,,,,58,76,,,3798.0,census_geocoder
3140,Masjid At-Taqwa,40 Parker St,Buffalo,NY,14214,42.940372362473,-78.839160562755,,1971,,https://isnf.weebly.com/about-us.html,43,72,,,163.0,census_geocoder
3141,Buffalo Islamic Cultural Center,3296 Bailey Avenue,Buffalo,NY,14215,42.944552650036,-78.813750128771,,,,,47,77,,,3801.0,census_geocoder
3142,Masjid Al Salam,1190 East Delavan Avenue,Buffalo,NY,14215,42.922719486888,-78.813606718536,,,,,45,71,,,3789.0,census_geocoder
3143,Masjid Al-Ihsan/Buffalo Muslim Community Center,497 Minnesota Ave,Buffalo,NY,14215,42.945774218955,-78.811002658125,,2017,,https://paytax.erie.gov/(S(ftxkhc1n0yqeibjghxin0kzd))/Report/Web_Report_CrystalViewer.aspx?REPORTNAME=C:\eGov\Reports\ERI_WEB_TAXMAP.rpt&REPORTCONNECTIONKEY=TAXMAP_W8-SQL-GVRN-E2_SQL&ReportParameter=TAX_MAP=1402000797300006019000,49,75,,,1690.0,census_geocoder
3144,MUNA Center of Amherst (MCA-WNY),1964 Kensington Avenue,Cheektowaga,NY,14215,42.949164080775,-78.786191336793,,,,,30,76,,,3855.0,census_geocoder
3145,Lackawanna Islamic Community Center LICC,1446 Abbott Road,Lackawanna,NY,14218,42.825292322557,-78.803328729354,,,,,30,61,,,3911.0,census_geocoder
3146,Masjid Alhuda,154 Wilkesbarre Ave,Lackawanna,NY,14218,42.82278994977,-78.84326470634,,1998,,"https://www.alhudamosque.org/about#:~:text=Al%2DHuda%20Islamic%20Association%2C%20also%20known%20as%20Masjid,*%20A%20multipurpose%20room%20for%20community%20events",24,40,,,1779.0,census_geocoder
3147,Basic Islamic Center Inc,2291 South Park Avenue,Buffalo,NY,14220,42.836598796901,-78.823909020456,,,,,31,65,,,3803.0,census_geocoder
3148,Ahmadiyya Muslim Jamaat Buffalo,5071 Harris Hill Road,Williamsville,NY,14221,42.985215227066,-78.676937575117,,,,,,13,,,3703.0,census_geocoder
3149,Arrahman Mosque,171 Knox Avenue,West Seneca,NY,14224,42.859066659197,-78.783171422615,,,,,,19,,,3671.0,census_geocoder
3150,Baitul Jannah Jame Masjid Cheektowaga Muslim Center,2695 Harlem Road,Cheektowaga,NY,14225,42.917109375384,-78.784216624795,,,,,39,64,,,3853.0,census_geocoder
3151,Islamic Center of New York,97 Lucid Drive,Cheektowaga,NY,14225,42.92823210482,-78.766891469616,,,,,30,14,,,3871.0,census_geocoder
3152,Masjid At Tawheed Cheektowaga Islamic Cultural Center,3459 Harlem Road,Cheektowaga,NY,14225,42.937624024154,-78.784034934955,,,,,28,44,,,3909.0,census_geocoder
3153,Masjidur Rahman Cheektowaga Islamic Center USA Inc.,2519 Genesee Street,Cheektowaga,NY,14225,42.920876530701,-78.789209251219,,,,,35,51,,,3912.0,census_geocoder
3154,DARUL ULOOM NIAGARA FALLS NY,3920 Pine Avenue,Niagara Falls,NY,14301,43.094922216418,-79.016346757507,,,,,26,50,,,3859.0,census_geocoder
3155,Islamic Center of Niagara Falls,1801 Pierce ave,Niagara Falls,NY,14301,43.101644246645,-79.039683630487,,2014,,"https://www.causeiq.com/organizations/masjid-tawba-of-niagara-falls,470985405/",32,71,,,1304.0,census_geocoder
3156,Tawba Mosque of Niagara Falls,1737 Pierce Avenue,Niagara Falls,NY,14301,43.101651531117,-79.04081717835,,,,,32,71,,,3856.0,census_geocoder
3157,Mahdi Mosque,9610 Colvin Boulevard,Niagara Falls,NY,14304,43.085000702797,-78.951484350113,,-,Information Without Year,(716) 236-8424,22,15,,,726.0,census_geocoder
3158,Masjid Al Ibrahim,5604 Lindbergh Avenue,Niagara Falls,NY,14304,43.083552794101,-78.999890569708,,,,,,29,,,3858.0,census_geocoder
3159,Muslim Center Of Niagara Falls,1920 18th Street,Niagara Falls,NY,14305,43.106113711989,-79.039807749877,,,,,26,53,,,3857.0,census_geocoder
3160,Masjid Al-Rahman,300 Bay st,Rochester,NY,14605,43.170917576957,-77.585834307989,,1990,,https://www.mapquest.com/us/new-york/masjid-al-rahman-433883396,43,69,,,1752.0,census_geocoder
3161,"Masjid Tawfeeq of Rochester, Inc.",15 Hudson Avenue,Rochester,NY,14605,43.163484126512,-77.60203554844,,,,,67,81,,,3627.0,census_geocoder
